step,force/mismatch_abs_mean,force/tau_hat_abs_mean,force/tau_t_abs_mean,loss/anomaly_mse,loss/anomaly_weighted,loss/flow
0,0.5601761937141418,3.5069856494374108e-06,0.5601779222488403,0.6765679121017456,0.006765678990632296,0.4993760585784912
100,0.5897598266601562,0.01616290956735611,0.5989153385162354,0.7722476124763489,0.007722476497292519,0.1760205775499344
200,0.5473151206970215,0.07602157443761826,0.5928926467895508,0.6646476984024048,0.006646476686000824,0.02026081457734108
300,0.44704070687294006,0.19748713076114655,0.5848731994628906,0.42940327525138855,0.004294032696634531,0.01676236279308796
400,0.29200515151023865,0.4065912961959839,0.5745725631713867,0.21308860182762146,0.002130886074155569,0.014573908410966396
500,0.23987621068954468,0.5183720588684082,0.582186222076416,0.1714029163122177,0.0017140290001407266,0.01021517626941204
600,0.2339128851890564,0.5227851271629333,0.6012294292449951,0.15271234512329102,0.00152712338604033,0.018427716568112373
700,0.21676123142242432,0.5156034827232361,0.5446355938911438,0.13900987803936005,0.0013900987105444074,0.013708546757698059
800,0.2169109582901001,0.5181615948677063,0.5555269122123718,0.1284216046333313,0.0012842160649597645,0.010252315551042557
900,0.2126198261976242,0.511768102645874,0.567776083946228,0.11472424864768982,0.001147242495790124,0.015132569707930088
1000,0.22764718532562256,0.5217772126197815,0.578342616558075,0.15276657044887543,0.0015276657650247216,0.006775340996682644
1100,0.24265892803668976,0.5214082598686218,0.5893120169639587,0.16250461339950562,0.0016250461339950562,0.006712394766509533
1200,0.24973130226135254,0.5256712436676025,0.6039750576019287,0.18704530596733093,0.0018704531248658895,0.008647915907204151
1300,0.2362556904554367,0.5358998775482178,0.5946486592292786,0.1638086587190628,0.001638086512684822,0.005809248425066471
1400,0.22289718687534332,0.5262835025787354,0.6054114103317261,0.14387939870357513,0.001438793959096074,0.012529151514172554
1500,0.23368723690509796,0.5197665095329285,0.5743266940116882,0.16844609379768372,0.001684460905380547,0.010693015530705452
1600,0.19968371093273163,0.5073115825653076,0.5288594961166382,0.11351753771305084,0.0011351752327755094,0.00693741999566555
1700,0.21971195936203003,0.513921856880188,0.5711583495140076,0.15218296647071838,0.0015218297485262156,0.004672793671488762
1800,0.21584099531173706,0.5190785527229309,0.5730385184288025,0.13364484906196594,0.0013364484766498208,0.006612945813685656
1900,0.2061767727136612,0.5319424867630005,0.5662915110588074,0.11277693510055542,0.001127769355662167,0.005894265603274107
2000,0.20678071677684784,0.5372419357299805,0.562082052230835,0.12041874974966049,0.0012041873997077346,0.01154184527695179
2100,0.21398892998695374,0.519868791103363,0.562934398651123,0.138083815574646,0.0013808381045237184,0.003918796312063932
2200,0.23770169913768768,0.5218551158905029,0.6135547161102295,0.1904643476009369,0.0019046434899792075,0.0075023905374109745
2300,0.2054019421339035,0.520222544670105,0.5733024477958679,0.13305310904979706,0.0013305310858413577,0.008714958094060421
2400,0.18918532133102417,0.5354852676391602,0.5550886392593384,0.10746581107378006,0.0010746581247076392,0.004190516192466021
2500,0.22237186133861542,0.5261452198028564,0.5813522338867188,0.16284847259521484,0.0016284846933558583,0.007838195189833641
2600,0.19147607684135437,0.5104307532310486,0.5603055357933044,0.11063328385353088,0.001106332871131599,0.009088789112865925
2700,0.20381374657154083,0.5863494277000427,0.5425392985343933,0.11328138411045074,0.0011328138643875718,0.005322829820215702
2800,0.19541673362255096,0.5340597033500671,0.5599183440208435,0.11199772357940674,0.001119977212511003,0.007121680304408073
2900,0.18132060766220093,0.48613986372947693,0.554830014705658,0.10911093652248383,0.0010911093559116125,0.005090577527880669
3000,0.19387049973011017,0.5218161344528198,0.5789607167243958,0.12399868667125702,0.0012399868573993444,0.006618132349103689
3100,0.1921166330575943,0.5281238555908203,0.5756574869155884,0.12490171194076538,0.0012490171939134598,0.005237047094851732
3200,0.1992643028497696,0.5163905620574951,0.5885391235351562,0.13654115796089172,0.0013654115609824657,0.008310291916131973
3300,0.20944534242153168,0.5829905867576599,0.6293113827705383,0.130869060754776,0.0013086904073134065,0.0042630527168512344
3400,0.168365016579628,0.5137845873832703,0.5638680458068848,0.09439112991094589,0.0009439112618565559,0.004578846972435713
3500,0.18092769384384155,0.5523151755332947,0.5335869789123535,0.09517914056777954,0.0009517913567833602,0.006344681140035391
3600,0.20377598702907562,0.5669669508934021,0.5836428999900818,0.12278583645820618,0.001227858359925449,0.003938531037420034
3700,0.21083298325538635,0.5453394651412964,0.6013127565383911,0.15381060540676117,0.0015381058910861611,0.005788941867649555
3800,0.1876407265663147,0.5636038184165955,0.5914632081985474,0.1176246926188469,0.0011762467911466956,0.007688088342547417
3900,0.16737721860408783,0.5443966388702393,0.5763729810714722,0.0830649882555008,0.0008306499221362174,0.002949921414256096
4000,0.15191692113876343,0.4837372899055481,0.5515620708465576,0.07634251564741135,0.000763425137847662,0.005004757083952427
4100,0.21712960302829742,0.5394790172576904,0.6173794865608215,0.15940043330192566,0.0015940043376758695,0.00906041357666254
4200,0.15952038764953613,0.5456389784812927,0.5780013799667358,0.07934971898794174,0.0007934971945360303,0.004019278567284346
4300,0.18744012713432312,0.5162380933761597,0.5674251317977905,0.10291248559951782,0.0010291248327121139,0.00633053807541728
4400,0.17882181704044342,0.5203129649162292,0.5641391277313232,0.0843641459941864,0.0008436414645984769,0.005820415914058685
4500,0.17474570870399475,0.5195568799972534,0.5714277625083923,0.08948476612567902,0.0008948476170189679,0.005174876190721989
4600,0.16434362530708313,0.5208373069763184,0.5748186111450195,0.08054234087467194,0.0008054233039729297,0.004640844184905291
4700,0.14911802113056183,0.5023915767669678,0.5543097853660583,0.0656759962439537,0.0006567599484696984,0.009231400676071644
4800,0.17610126733779907,0.5409210324287415,0.5919750332832336,0.08276538550853729,0.0008276538574136794,0.0048438990488648415
4900,0.18077678978443146,0.5770277380943298,0.6092080473899841,0.08927984535694122,0.0008927984163165092,0.005386445205658674
5000,0.17518587410449982,0.5131142735481262,0.560086190700531,0.11163881421089172,0.0011163881281390786,0.00401453347876668
5100,0.169371098279953,0.5159813761711121,0.5744714140892029,0.07797075808048248,0.0007797075668349862,0.0033405893482267857
5200,0.16686424612998962,0.5494790077209473,0.5753761529922485,0.08869536966085434,0.0008869536104612052,0.004340232349932194
5300,0.1670481562614441,0.5257276892662048,0.5755414962768555,0.08647891879081726,0.0008647891809232533,0.006430222652852535
5400,0.15588995814323425,0.5284656286239624,0.5796635150909424,0.08359567075967789,0.0008359567727893591,0.0046380991116166115
5500,0.15372705459594727,0.5314446687698364,0.5682516694068909,0.06473790854215622,0.0006473790854215622,0.005211811047047377
5600,0.16160638630390167,0.5524658560752869,0.5592962503433228,0.06376045942306519,0.0006376045057550073,0.00528345862403512
5700,0.14407813549041748,0.5485645532608032,0.5653735399246216,0.05250926315784454,0.0005250926478765905,0.00556905847042799
5800,0.16868875920772552,0.5650014281272888,0.5950759649276733,0.07822874933481216,0.000782287388574332,0.006244255695492029
5900,0.15964286029338837,0.5448899865150452,0.6024734377861023,0.07810648530721664,0.0007810648530721664,0.007660148665308952
6000,0.14325790107250214,0.5259509086608887,0.5606429576873779,0.06412136554718018,0.0006412136135622859,0.007814634591341019
6100,0.1594698131084442,0.534522533416748,0.5502115488052368,0.0658373236656189,0.0006583732319995761,0.0029665022157132626
6200,0.15558168292045593,0.5385262370109558,0.5848757028579712,0.08399441838264465,0.0008399441721849144,0.004404702689498663
6300,0.16508229076862335,0.5400607585906982,0.6134563684463501,0.09419438242912292,0.0009419437847100198,0.0039864336140453815
6400,0.14558540284633636,0.5460923910140991,0.5396867394447327,0.053729768842458725,0.0005372976884245872,0.0028559803031384945
6500,0.139158695936203,0.51731938123703,0.55073481798172,0.05481007695198059,0.0005481007392518222,0.0038783240597695112
6600,0.13234615325927734,0.539697527885437,0.5624939799308777,0.04507507011294365,0.0004507507255766541,0.0059480201452970505
6700,0.1519192010164261,0.5493930578231812,0.5385910868644714,0.06897027045488358,0.0006897026905789971,0.0054185353219509125
6800,0.16639219224452972,0.5550543665885925,0.5811359286308289,0.07536585628986359,0.0007536585326306522,0.0025631762109696865
6900,0.16479849815368652,0.5355475544929504,0.5624892711639404,0.08445897698402405,0.0008445897256024182,0.005662256386131048
7000,0.16606542468070984,0.5485040545463562,0.6176944971084595,0.07255963236093521,0.0007255963864736259,0.006193808279931545
7100,0.16188457608222961,0.6102432012557983,0.6624082922935486,0.06899984925985336,0.0006899985019117594,0.007841959595680237
7200,0.1352735310792923,0.5226134657859802,0.5425039529800415,0.059465087950229645,0.0005946509190835059,0.008936899714171886
7300,0.14580200612545013,0.5101903676986694,0.5382465124130249,0.057149488478899,0.0005714948638342321,0.0034158388152718544
7400,0.14615842700004578,0.5457352995872498,0.5880178213119507,0.0640375167131424,0.0006403751322068274,0.00902540609240532
7500,0.15094900131225586,0.5556066036224365,0.5673749446868896,0.0561632439494133,0.0005616324488073587,0.008367419242858887
7600,0.1421937644481659,0.5604686737060547,0.5723714828491211,0.051022522151470184,0.0005102251889184117,0.004078900907188654
7700,0.15413127839565277,0.5637610554695129,0.5627011656761169,0.06145438179373741,0.0006145437946543097,0.0037841934245079756
7800,0.16298192739486694,0.5427627563476562,0.5886563062667847,0.07673535495996475,0.000767353514675051,0.0030489445198327303
7900,0.16297855973243713,0.5547816157341003,0.5751363635063171,0.07007957994937897,0.0007007957901805639,0.0038662271108478308
8000,0.16218897700309753,0.5294227004051208,0.5796412825584412,0.08191406726837158,0.0008191406377591193,0.0026719134766608477
8100,0.14712876081466675,0.536274254322052,0.5718966722488403,0.07112342119216919,0.000711234170012176,0.0039868480525910854
8200,0.15817303955554962,0.5748878717422485,0.6008235812187195,0.07085905969142914,0.0007085905526764691,0.004073423333466053
8300,0.13540217280387878,0.5293610095977783,0.5527263879776001,0.04644014313817024,0.00046440138248726726,0.008590788580477238
8400,0.15282270312309265,0.5678322315216064,0.5886845588684082,0.06142767518758774,0.0006142767379060388,0.003831390989944339
8500,0.15543007850646973,0.5522190928459167,0.5790820121765137,0.061888523399829865,0.0006188851548358798,0.006221198942512274
8600,0.13623793423175812,0.5535308122634888,0.5725585222244263,0.04800334572792053,0.0004800334572792053,0.004077262710779905
8700,0.17125536501407623,0.5734823942184448,0.594018280506134,0.09257830679416656,0.0009257830679416656,0.0041523100808262825
8800,0.14805909991264343,0.56544029712677,0.5954685211181641,0.06380505859851837,0.0006380504928529263,0.003126933006569743
8900,0.16046974062919617,0.600636899471283,0.6119398474693298,0.07743339240550995,0.0007743338937871158,0.00693644629791379
9000,0.13668227195739746,0.5404717922210693,0.5593729615211487,0.045639779418706894,0.0004563977418001741,0.0031238894443958998
9100,0.1507137268781662,0.5363204479217529,0.5748485922813416,0.0612330287694931,0.0006123302737250924,0.004463809542357922
9200,0.13383351266384125,0.547081708908081,0.5602332949638367,0.04705861210823059,0.0004705861210823059,0.005454099737107754
9300,0.13328957557678223,0.5219985246658325,0.554966151714325,0.048262819647789,0.00048262818017974496,0.003105561016127467
9400,0.15966947376728058,0.5540488958358765,0.5859256982803345,0.08842330425977707,0.0008842331008054316,0.004647949710488319
