step,force/mismatch_abs_mean,force/tau_hat_abs_mean,force/tau_t_abs_mean,loss/anomaly_mse,loss/anomaly_weighted,loss/flow
0,0.5601779222488403,0.0,0.5601779222488403,0.6765715479850769,0.0,0.2131364792585373
100,0.5989153385162354,0.0,0.5989153385162354,0.7934243679046631,0.0,0.03445364534854889
200,0.5928926467895508,0.0,0.5928926467895508,0.7758345007896423,0.0,0.01765976846218109
300,0.5848731994628906,0.0,0.5848731994628906,0.7368457317352295,0.0,0.014341565780341625
400,0.5745725631713867,0.0,0.5745725631713867,0.7259923219680786,0.0,0.012865087948739529
500,0.582186222076416,0.0,0.582186222076416,0.753623366355896,0.0,0.009221375919878483
600,0.6012294292449951,0.0,0.6012294292449951,0.7847501635551453,0.0,0.02014521323144436
700,0.5446355938911438,0.0,0.5446355938911438,0.6408554911613464,0.0,0.012488953769207
800,0.5555269122123718,0.0,0.5555269122123718,0.6713876724243164,0.0,0.009273453615605831
900,0.567776083946228,0.0,0.567776083946228,0.6808028221130371,0.0,0.016517510637640953
1000,0.578342616558075,0.0,0.578342616558075,0.7447167038917542,0.0,0.006293238140642643
1100,0.5893120169639587,0.0,0.5893120169639587,0.7666458487510681,0.0,0.0063241817988455296
1200,0.6039750576019287,0.0,0.6039750576019287,0.8152769804000854,0.0,0.007914094254374504
1300,0.5946486592292786,0.0,0.5946486592292786,0.7809138298034668,0.0,0.005883663892745972
1400,0.6054114103317261,0.0,0.6054114103317261,0.7680371999740601,0.0,0.012549970299005508
1500,0.5743266940116882,0.0,0.5743266940116882,0.7437161803245544,0.0,0.012718149460852146
1600,0.5288594961166382,0.0,0.5288594961166382,0.5976470708847046,0.0,0.006245254538953304
1700,0.5711583495140076,0.0,0.5711583495140076,0.7349132895469666,0.0,0.006326023023575544
1800,0.5730385184288025,0.0,0.5730385184288025,0.692194938659668,0.0,0.006690638139843941
1900,0.5662915110588074,0.0,0.5662915110588074,0.689976692199707,0.0,0.005478488281369209
2000,0.562082052230835,0.0,0.562082052230835,0.673051118850708,0.0,0.011121866293251514
2100,0.562934398651123,0.0,0.562934398651123,0.67792147397995,0.0,0.004030018113553524
2200,0.6135547161102295,0.0,0.6135547161102295,0.8585099577903748,0.0,0.007877102121710777
2300,0.5733024477958679,0.0,0.5733024477958679,0.7218225002288818,0.0,0.008012202568352222
2400,0.5550886392593384,0.0,0.5550886392593384,0.6754273176193237,0.0,0.004265279974788427
2500,0.5813522338867188,0.0,0.5813522338867188,0.7332342863082886,0.0,0.007626570761203766
2600,0.5603055357933044,0.0,0.5603055357933044,0.6619447469711304,0.0,0.008065585047006607
2700,0.5425392985343933,0.0,0.5425392985343933,0.6194014549255371,0.0,0.005326982121914625
2800,0.5599183440208435,0.0,0.5599183440208435,0.6830719709396362,0.0,0.00737405801191926
2900,0.554830014705658,0.0,0.554830014705658,0.6619613766670227,0.0,0.005492302123457193
3000,0.5789607167243958,0.0,0.5789607167243958,0.7227839827537537,0.0,0.006430532783269882
3100,0.5756574869155884,0.0,0.5756574869155884,0.7213809490203857,0.0,0.005062810145318508
3200,0.5885391235351562,0.0,0.5885391235351562,0.7652527093887329,0.0,0.008605248294770718
3300,0.6293113827705383,0.0,0.6293113827705383,0.8520805835723877,0.0,0.003990250639617443
3400,0.5638680458068848,0.0,0.5638680458068848,0.6864709854125977,0.0,0.00471036322414875
3500,0.5335869789123535,0.0,0.5335869789123535,0.590607762336731,0.0,0.005793714430183172
3600,0.5836428999900818,0.0,0.5836428999900818,0.7267459630966187,0.0,0.003954676445573568
3700,0.6013127565383911,0.0,0.6013127565383911,0.8034207820892334,0.0,0.005242554005235434
3800,0.5914632081985474,0.0,0.5914632081985474,0.7783911824226379,0.0,0.007244291249662638
3900,0.5763729810714722,0.0,0.5763729810714722,0.7172789573669434,0.0,0.0028210601303726435
4000,0.5515620708465576,0.0,0.5515620708465576,0.6475234031677246,0.0,0.004925605375319719
4100,0.6173794865608215,0.0,0.6173794865608215,0.8371211886405945,0.0,0.008998929522931576
4200,0.5780013799667358,0.0,0.5780013799667358,0.7287960052490234,0.0,0.0038232968654483557
4300,0.5674251317977905,0.0,0.5674251317977905,0.6903649568557739,0.0,0.006027459166944027
4400,0.5641391277313232,0.0,0.5641391277313232,0.6609702110290527,0.0,0.005974812898784876
4500,0.5714277625083923,0.0,0.5714277625083923,0.6974140405654907,0.0,0.005278600379824638
4600,0.5748186111450195,0.0,0.5748186111450195,0.7177643775939941,0.0,0.005517018958926201
4700,0.5543097853660583,0.0,0.5543097853660583,0.6713508367538452,0.0,0.009048097766935825
4800,0.5919750332832336,0.0,0.5919750332832336,0.7431840896606445,0.0,0.0046691810712218285
4900,0.6092080473899841,0.0,0.6092080473899841,0.7730785608291626,0.0,0.005369857419282198
5000,0.560086190700531,0.0,0.560086190700531,0.704538106918335,0.0,0.003929814789444208
5100,0.5744714140892029,0.0,0.5744714140892029,0.7066059112548828,0.0,0.0034769591875374317
5200,0.5753761529922485,0.0,0.5753761529922485,0.7294132709503174,0.0,0.004147117957472801
5300,0.5755414962768555,0.0,0.5755414962768555,0.7068821787834167,0.0,0.005925543140619993
5400,0.5796635150909424,0.0,0.5796635150909424,0.7358382940292358,0.0,0.004443274810910225
5500,0.5682516694068909,0.0,0.5682516694068909,0.6936875581741333,0.0,0.0049367002211511135
5600,0.5592962503433228,0.0,0.5592962503433228,0.6701975464820862,0.0,0.005529188551008701
