step,force/mismatch_abs_mean,force/tau_hat_abs_mean,force/tau_t_abs_mean,loss/anomaly_mse,loss/anomaly_weighted,loss/flow
0,0.5601779222488403,0.0,0.5601779222488403,0.6765716075897217,0.0,0.4993760585784912
100,0.5989153385162354,0.0,0.5989153385162354,0.7934243679046631,0.0,0.17606355249881744
200,0.5928926467895508,0.0,0.5928926467895508,0.7758344411849976,0.0,0.019855044782161713
300,0.5848731994628906,0.0,0.5848731994628906,0.7368457317352295,0.0,0.016611633822321892
400,0.5745725631713867,0.0,0.5745725631713867,0.7259923219680786,0.0,0.015081706456840038
500,0.582186222076416,0.0,0.582186222076416,0.753623366355896,0.0,0.01009121909737587
600,0.6012294292449951,0.0,0.6012294292449951,0.7847501039505005,0.0,0.015637794509530067
700,0.5446355938911438,0.0,0.5446355938911438,0.6408554315567017,0.0,0.013033568859100342
800,0.5555269122123718,0.0,0.5555269122123718,0.6713876128196716,0.0,0.00973390694707632
900,0.567776083946228,0.0,0.567776083946228,0.6808028221130371,0.0,0.016099145635962486
1000,0.578342616558075,0.0,0.578342616558075,0.7447167038917542,0.0,0.005997724365442991
1100,0.5893120169639587,0.0,0.5893120169639587,0.7666457891464233,0.0,0.0068063074722886086
1200,0.6039750576019287,0.0,0.6039750576019287,0.8152769207954407,0.0,0.008208663202822208
1300,0.5946486592292786,0.0,0.5946486592292786,0.7809138298034668,0.0,0.005530792288482189
1400,0.6054114103317261,0.0,0.6054114103317261,0.7680371999740601,0.0,0.012182442471385002
1500,0.5743266940116882,0.0,0.5743266940116882,0.7437161803245544,0.0,0.013619358651340008
1600,0.5288594961166382,0.0,0.5288594961166382,0.5976470708847046,0.0,0.007146785035729408
1700,0.5711583495140076,0.0,0.5711583495140076,0.7349132895469666,0.0,0.0056551313027739525
1800,0.5730385184288025,0.0,0.5730385184288025,0.692194938659668,0.0,0.006823632400482893
1900,0.5662915110588074,0.0,0.5662915110588074,0.6899766325950623,0.0,0.006060789804905653
2000,0.562082052230835,0.0,0.562082052230835,0.673051118850708,0.0,0.011251633986830711
2100,0.562934398651123,0.0,0.562934398651123,0.6779214143753052,0.0,0.0038634170778095722
2200,0.6135547161102295,0.0,0.6135547161102295,0.8585099577903748,0.0,0.007978064939379692
2300,0.5733024477958679,0.0,0.5733024477958679,0.7218225002288818,0.0,0.008157064206898212
2400,0.5550886392593384,0.0,0.5550886392593384,0.6754273176193237,0.0,0.0044625913724303246
2500,0.5813522338867188,0.0,0.5813522338867188,0.7332342863082886,0.0,0.007919536903500557
2600,0.5603055357933044,0.0,0.5603055357933044,0.6619447469711304,0.0,0.00894331093877554
2700,0.5425392985343933,0.0,0.5425392985343933,0.6194014549255371,0.0,0.00508040189743042
2800,0.5599183440208435,0.0,0.5599183440208435,0.6830719709396362,0.0,0.006865867879241705
2900,0.554830014705658,0.0,0.554830014705658,0.6619613766670227,0.0,0.005206807516515255
3000,0.5789607167243958,0.0,0.5789607167243958,0.7227839827537537,0.0,0.007198877166956663
3100,0.5756574869155884,0.0,0.5756574869155884,0.7213809490203857,0.0,0.005158871412277222
3200,0.5885391235351562,0.0,0.5885391235351562,0.7652527093887329,0.0,0.008739492855966091
3300,0.6293113827705383,0.0,0.6293113827705383,0.8520805835723877,0.0,0.004150594584643841
3400,0.5638680458068848,0.0,0.5638680458068848,0.6864709854125977,0.0,0.004547447897493839
3500,0.5335869789123535,0.0,0.5335869789123535,0.590607762336731,0.0,0.006247914396226406
3600,0.5836428999900818,0.0,0.5836428999900818,0.7267459630966187,0.0,0.0039840745739638805
3700,0.6013127565383911,0.0,0.6013127565383911,0.8034207224845886,0.0,0.00556996650993824
3800,0.5914632081985474,0.0,0.5914632081985474,0.7783911228179932,0.0,0.008508268743753433
3900,0.5763729810714722,0.0,0.5763729810714722,0.7172789573669434,0.0,0.002738624345511198
4000,0.5515620708465576,0.0,0.5515620708465576,0.6475234031677246,0.0,0.004773407243192196
4100,0.6173794865608215,0.0,0.6173794865608215,0.8371211290359497,0.0,0.008827895857393742
4200,0.5780013799667358,0.0,0.5780013799667358,0.7287960052490234,0.0,0.003308712737634778
4300,0.5674251317977905,0.0,0.5674251317977905,0.6903649568557739,0.0,0.006484755780547857
4400,0.5641391277313232,0.0,0.5641391277313232,0.6609702110290527,0.0,0.006015180144459009
4500,0.5714277625083923,0.0,0.5714277625083923,0.6974140405654907,0.0,0.005492034368216991
4600,0.5748186111450195,0.0,0.5748186111450195,0.7177644371986389,0.0,0.004632705822587013
4700,0.5543097853660583,0.0,0.5543097853660583,0.6713508367538452,0.0,0.009009107016026974
4800,0.5919750332832336,0.0,0.5919750332832336,0.7431840896606445,0.0,0.004847909323871136
4900,0.6092080473899841,0.0,0.6092080473899841,0.7730785608291626,0.0,0.005174356512725353
5000,0.560086190700531,0.0,0.560086190700531,0.7045381665229797,0.0,0.004064738284796476
5100,0.5744714140892029,0.0,0.5744714140892029,0.7066059112548828,0.0,0.003927366342395544
5200,0.5753761529922485,0.0,0.5753761529922485,0.7294132709503174,0.0,0.004303948022425175
5300,0.5755414962768555,0.0,0.5755414962768555,0.7068821787834167,0.0,0.005765157751739025
5400,0.5796635150909424,0.0,0.5796635150909424,0.7358382940292358,0.0,0.004144634585827589
5500,0.5682516694068909,0.0,0.5682516694068909,0.6936875581741333,0.0,0.005351978354156017
5600,0.5592962503433228,0.0,0.5592962503433228,0.6701975464820862,0.0,0.005518422462046146
5700,0.5653735399246216,0.0,0.5653735399246216,0.6804881691932678,0.0,0.005485213361680508
5800,0.5950759649276733,0.0,0.5950759649276733,0.7699183821678162,0.0,0.006258082110434771
5900,0.6024734377861023,0.0,0.6024734377861023,0.7964247465133667,0.0,0.0071222237311303616
6000,0.5606429576873779,0.0,0.5606429576873779,0.6901859641075134,0.0,0.007327476050704718
6100,0.5502115488052368,0.0,0.5502115488052368,0.6325332522392273,0.0,0.0032242971938103437
6200,0.5848757028579712,0.0,0.5848757028579712,0.7622838020324707,0.0,0.004416018258780241
6300,0.6134563684463501,0.0,0.6134563684463501,0.8539990782737732,0.0,0.0036571805831044912
6400,0.5396867394447327,0.0,0.5396867394447327,0.6162666082382202,0.0,0.0030203997157514095
6500,0.55073481798172,0.0,0.55073481798172,0.6616746187210083,0.0,0.0040808552876114845
6600,0.5624939799308777,0.0,0.5624939799308777,0.6889135837554932,0.0,0.005210015457123518
6700,0.5385910868644714,0.0,0.5385910868644714,0.6227965354919434,0.0,0.005106012336909771
6800,0.5811359286308289,0.0,0.5811359286308289,0.7167723774909973,0.0,0.0025330358184874058
6900,0.5624892711639404,0.0,0.5624892711639404,0.7228667736053467,0.0,0.005331868305802345
7000,0.6176944971084595,0.0,0.6176944971084595,0.8303980827331543,0.0,0.006065324880182743
7100,0.6624082922935486,0.0,0.6624082922935486,0.9443680644035339,0.0,0.00741825345903635
7200,0.5425039529800415,0.0,0.5425039529800415,0.6474088430404663,0.0,0.00925480667501688
7300,0.5382465124130249,0.0,0.5382465124130249,0.6075152158737183,0.0,0.003296942450106144
7400,0.5880178213119507,0.0,0.5880178213119507,0.7645821571350098,0.0,0.008981467224657536
7500,0.5673749446868896,0.0,0.5673749446868896,0.6941423416137695,0.0,0.008014336228370667
